Month,DMAs
2025-01-01,36
2025-02-01,36
2025-03-01,36
2025-04-01,36
2025-05-01,36
2025-06-01,36
2025-07-01,36
2025-08-01,36
2025-09-01,36
2025-10-01,36
2025-11-01,36
2025-12-01,36
2026-02-01,36
2026-03-01,36
2026-04-01,36
2026-05-01,36
2026-06-01,36
2026-07-01,36
